,country,time,lex
790,alb,1988,72.38
791,alb,1989,72.47
792,alb,1990,72.76
793,alb,1991,72.64
794,alb,1992,73.23
795,alb,1993,73.83
796,alb,1994,74.59
797,alb,1995,74.61
798,alb,1996,74.55
799,alb,1997,72.91
800,alb,1998,74.83
801,alb,1999,75.07
802,alb,2000,75.39
803,alb,2001,76.02
804,alb,2002,75.93
805,alb,2003,75.62
806,alb,2004,75.77
807,alb,2005,76.2
808,alb,2006,76.9
809,alb,2007,77.5
810,alb,2008,77.57
811,alb,2009,77.97
812,alb,2010,78.13
813,alb,2011,78.13
814,alb,2012,78.22
815,alb,2013,78.28
816,alb,2014,78.21
817,alb,2015,78.14
818,alb,2016,78.23
819,alb,2017,78.33
820,alb,2018,78.44
821,alb,2019,78.5
822,alb,2020,76.23
823,alb,2021,75.71
824,alb,2022,76.07
825,alb,2023,77.29
826,alb,2024,79.48
827,alb,2025,79.67
828,alb,2026,79.87
829,alb,2027,80.07
830,alb,2028,80.26
831,alb,2029,80.45
832,alb,2030,80.63
833,alb,2031,80.82
834,alb,2032,81.0
835,alb,2033,81.19
836,alb,2034,81.37
837,alb,2035,81.55
838,alb,2036,81.73
839,alb,2037,81.9
840,alb,2038,82.07
841,alb,2039,82.24
842,alb,2040,82.41
843,alb,2041,82.57
844,alb,2042,82.72
845,alb,2043,82.88
846,alb,2044,83.04
847,alb,2045,83.19
848,alb,2046,83.34
849,alb,2047,83.49
850,alb,2048,83.63
851,alb,2049,83.77
852,alb,2050,83.92
853,alb,2051,84.05
854,alb,2052,84.19
855,alb,2053,84.32
856,alb,2054,84.46
857,alb,2055,84.59
858,alb,2056,84.73
859,alb,2057,84.86
860,alb,2058,84.99
861,alb,2059,85.11
862,alb,2060,85.23
863,alb,2061,85.36
864,alb,2062,85.49
865,alb,2063,85.62
866,alb,2064,85.73
867,alb,2065,85.86
868,alb,2066,85.99
869,alb,2067,86.11
870,alb,2068,86.23
871,alb,2069,86.35
872,alb,2070,86.47
873,alb,2071,86.58
874,alb,2072,86.7
875,alb,2073,86.82
876,alb,2074,86.94
877,alb,2075,87.06
878,alb,2076,87.18
879,alb,2077,87.3
880,alb,2078,87.42
881,alb,2079,87.53
882,alb,2080,87.66
883,alb,2081,87.77
884,alb,2082,87.89
885,alb,2083,88.0
886,alb,2084,88.12
887,alb,2085,88.24
888,alb,2086,88.36
889,alb,2087,88.47
890,alb,2088,88.59
891,alb,2089,88.71
892,alb,2090,88.82
893,alb,2091,88.93
894,alb,2092,89.05
895,alb,2093,89.17
896,alb,2094,89.28
897,alb,2095,89.4
898,alb,2096,89.51
899,alb,2097,89.62
900,alb,2098,89.73
901,alb,2099,89.84
902,alb,2100,89.95
903,and,1950,74.62
904,and,1951,74.72
905,and,1952,74.83
906,and,1953,74.95
907,and,1954,75.08
908,and,1955,75.21
909,and,1956,75.32
910,and,1957,75.43
911,and,1958,75.51
912,and,1959,75.63
913,and,1960,75.74
914,and,1961,75.83
915,and,1962,75.94
916,and,1963,76.04
917,and,1964,76.18
918,and,1965,76.3
919,and,1966,76.41
920,and,1967,76.55
921,and,1968,76.67
922,and,1969,76.83
923,and,1970,76.97
924,and,1971,77.08
925,and,1972,77.22
926,and,1973,77.37
927,and,1974,77.55
928,and,1975,77.7
929,and,1976,77.82
930,and,1977,77.95
931,and,1978,78.08
932,and,1979,78.23
933,and,1980,78.34
934,and,1981,78.41
935,and,1982,78.48
936,and,1983,78.52
937,and,1984,78.61
938,and,1985,78.71
939,and,1986,78.78
940,and,1987,78.84
941,and,1988,78.89
942,and,1989,78.96
943,and,1990,79.03
944,and,1991,79.12
945,and,1992,79.16
946,and,1993,79.35
947,and,1994,79.51
948,and,1995,79.75
949,and,1996,79.96
950,and,1997,80.2
951,and,1998,80.41
952,and,1999,80.6
953,and,2000,80.76
954,and,2001,80.92
955,and,2002,81.09
956,and,2003,81.22
957,and,2004,81.26
958,and,2005,81.4
959,and,2006,81.49
960,and,2007,81.66
961,and,2008,81.75
962,and,2009,81.78
963,and,2010,81.85
964,and,2011,81.91
965,and,2012,81.94
966,and,2013,81.95
967,and,2014,81.97
968,and,2015,82.01
969,and,2016,82.06
970,and,2017,82.11
971,and,2018,82.14
972,and,2019,82.19
